Pojemnoœæ systemu: 40, ¯¹dane AU: 1, 3, 4
Ruch oferowany na jednostkê pojemnoœci, Prawdopodobieñstwo blokady dla strumienia 1, Prawdopodobieñstwo blokady dla strumienia 2, Prawdopodobieñstwo blokady dla strumienia 3
0.20, 0.000001, 0.000003, 0.000006
0.30, 0.000032, 0.000155, 0.000265
0.40, 0.000410, 0.001760, 0.002827
0.50, 0.002291, 0.009015, 0.013797
0.60, 0.007566, 0.027761, 0.040899
0.70, 0.017604, 0.060901, 0.086952
0.80, 0.032335, 0.106328, 0.147837
0.90, 0.050607, 0.159161, 0.216293
1.00, 0.071009, 0.214628, 0.285898
1.10, 0.092369, 0.269361, 0.352512
1.20, 0.113877, 0.321423, 0.414043
1.30, 0.135036, 0.369898, 0.469743
1.40, 0.155565, 0.414496, 0.519616
